15468: 13627,15522
13473: 14205
14307: 15524,15168,14358
13744: 15533,28661,14631,15731,15536,14710
14021: 12958
13472: 14904,15678
12903: 13963,14476,12969,14002,14885,14313
15266: 14121,14466,13706
13557: 13714,15706,14600,12851,15665,14201
12867: 14128,14211
14829: 14248
14931: 
13039: 
13802: 13069,14196,15580,12861,14283,13648
15435: 15077
13437: 
13244: 13529,14459,14079,14336,14959,13323
14566: 13740,14363,13234,13103,14715,14828
13477: 
12890: 
15351: 15340,13193,13595,14603,14912,15535
15498: 13537,13798,14500,14254,14433,13110
14057: 13899,13827,14075,13153
15355: 15085,13085,13430
13523: 13141,15611,12932,14891,15028,15579
14520: 15010,14105,13668,15614,14787,15749,14137
12938: 14077,14826,15299,13295,13383
13754: 12970,13657
13422: 
15631: 14020,13075,15702,13582,15727,15570
13487: 14119,13828,14504,14456
13631: 14005,13848,13154,15431,13452,15015
15086: 15467,14833
13400: 15244,15309,14343
13482: 13829,15660,14880
15055: 14370,13165,14313,15358,14633,13970
14747: 15338,13311
13905: 13770,12972,14894,15807,13054,13759
14049: 15765,13524,14530,13709,13285,15258
15545: 15577,13661,14689,15732,15182,14340
13059: 12868,15395,13256,12926,13903,15555
15787: 15723
15396: 14150,13621,12951,13863,15647,15366
13522: 13327,14805
13548: 14801,15069,14357,13737,14842,15717
15625: 15223,14383,14417,14853,14132
13773: 12889,14928,15342,15226
13065: 14023,15072,15398,14350,13518,14724
13131: 15182,13198,15013,13786,13216,13315
15494: 13209,14588,13550,13735,13896,13848
15258: 14283,13285,13293,15765,13355,14049
14222: 14371,15641
13844: 15685,13434,15206,13042,14972,14069
14283: 12861,13285,15258,13293,13648,13802
14080: 15188,14647
14189: 14497,13146,12904
13383: 14957,13499,13295,14077,12938
14047: 14203,13161,14805,13327,13329,15074
13619: 13163,15144,15626,14175,15563
13745: 12879,15054,15172,14088,15444
15497: 13968,14052,13000,14691,12821,15022
13215: 14847,14887,13710,15062,13712,13707
14980: 14251,15202,14795,15519,13149,15585
14945: 13933,13294,14329,12881,15030,14442
15526: 13222
15796: 
15488: 13010,13113,13988,15023
14235: 13211,15376,14537,15293,15294
13283: 15388,15620,14422,15501,13022,14163
13518: 14509,15633,14724,13065,15072,13696
14458: 13979,12815,14986,14900,14230
13908: 15415,14216,15060,13274,14471
12822: 14575
15004: 14944,13214,14159,13101,14322
15602: 14297,15327,15334,15208,12861,14196
15646: 14982
14245: 13447,13011
15003: 13149,13756,13954,14438,14876,14110
12898: 13525,15737
14346: 14859,14295,15759,13441
13168: 14092,15595,14624
14264: 14063,15103,14457,12968,12834,12985
13083: 13306,14560,14723,14298
15780: 13297,13827,15779,13306,14298
14694: 15709,12982,14861,14457,15365,15430
14034: 14378,14318,13287,15156,13640,15442
12950: 13233,15239,13674,13850,14946,14852
15764: 14726,15528,15392,14239,14084,15790
12843: 14700,14649,15542,13826,15671,14632
15006: 
15336: 13837,15370,13859
14412: 13799,15138
14337: 13755,14557,13164,14525,15433,15323
14689: 13301,14852,13674,15732,14340,15545
15058: 15362,13023
12953: 13888,13111,15314
14719: 15688,13883,13480,13686,13271,13435
15365: 13329,15074,14457,12834,15430,14694,15709
15619: 15393
14846: 13426,14956,15224,12991,15635,13048
13515: 13853
13310: 14536,15607,14939,13174,13055,15475
14984: 14230,14799,14233
14416: 28658,13723,15520,13124,13466,15238
14749: 
15297: 13775,14870
15307: 14032,14162,13335,14871,13399,14608
14840: 
13733: 15306,12975,13872,13963,15232,15771
15553: 14223,13749,14383,13091,14364
13625: 14850,13147,15717,14781,14410,13262
12910: 
14755: 14714,13768,15140,13594,13353
12915: 14835,14453,15090,14256,13224
14541: 13755,14557,13175,14266,28607,14963,15751
13275: 12921,13658,14325,13703,13675,14465
15223: 14050,15625,14132,13134,14131,14140
14740: 14205,12894
15727: 14156,13582,13414,14731,15631,13075
13416: 15225,15441,13099,14757
15198: 13372,14453,15090,13776,14335
14757: 12971,13099,13416,15225
15305: 14343,13610,13237
14718: 15667,14461,14841,13881,14323,13024
15800: 13227,14898,13674,14836,15732
14249: 15712,14496,13920,13399,13410
15095: 13070,13150,13987
13969: 15744,14354,14454,13123,13992,13868
14533: 15091,13576,15810,15112,14219
14700: 12843,28558,14649,15542,13558,15746
